No,Prefecture,code_pref,Hospital,Corporation,Address,Type,Y,X,Underpopulated,Mountainous,RI,Peninsula,Snowfall,Agricultural
360,香川県,37,小豆島病院,特定医療法人社団　宝樹会,香川県小豆島町池田2519番地の４,3,34.4842442286526,134.230516516206,1,,1,,,
436,鹿児島県,46,せいざん病院,医療法人　純青会,鹿児島県西之表市住吉3363番地2,4,30.6740305914238,130.947604924977,1,,1,,,
195,新潟県,15,佐渡総合病院,新潟県厚生農業協同組合連合会,新潟県佐渡市千種161番地,3,38.0195153246092,138.366706044718,1,,1,,1,
399,長崎県,42,長崎県五島中央病院,,長崎県五島市吉久木町205番地,4,32.690017326398,128.817099625059,1,,1,,,
400,長崎県,42,長崎県上五島病院,,長崎県南松浦郡新上五島町青方郷1549-11,4,32.9827850728982,129.070020389363,1,,1,,,1
402,長崎県,42,長崎県対馬病院,,長崎県対馬市美津島町?知乙1168番7,4,34.2860474819683,129.317324845461,1,,1,,,1
401,長崎県,42,長崎県壱岐病院,,長崎県壱岐市郷ノ浦町東触1626番地,4,33.756350867575,129.709067502479,1,,1,,,
327,島根県,32,隠岐病院,隠岐広域連合,島根県隠岐郡隠岐の島町城北町355,4,36.216256204469,133.31847095405,1,,1,,,1
1,北海道,1,亀田北病院,社会医療法人 文珠会,北海道函館市石川町191番地4,3,41.8360133840621,140.742781697946,1,,,,1,
2,北海道,1,富田病院,特定医療法人 富田病院,北海道函館市駒場町9番18号,3,41.7850116713338,140.773449255616,1,,,,1,
3,北海道,1,函館渡辺病院,社会医療法人 函館博栄会,北海道函館市湯川町1丁目31番1号,3,41.7813331342726,140.785596847669,1,,,,1,
4,北海道,1,江別すずらん病院,医療法人　風のすずらん会,北海道江別市上江別442番15,3,43.0990072693838,141.543846797985,,,,,1,
5,北海道,1,江別市立病院,江別市,北海道江別市若草町6番地,4,43.1117288680575,141.545252204773,,,,,1,
6,北海道,1,千歳病院,医療法人 資生会,北海道千歳市桂木1丁目5番6号,3,42.8199928625889,141.624651940306,,,,,1,
7,北海道,1,小樽市立病院,小樽市,北海道小樽市若松1丁目1番1号,3,43.1855761428443,141.00735671093,1,,,,1,
8,北海道,1,島田脳神経外科,医療法人　たんぽぽ会,北海道小樽市錦町1番2号,4,43.205764990152,140.997600397988,1,,,,1,
9,北海道,1,砂川市立病院,砂川市,北海道砂川市西4条北3丁目1番1号,3,43.4945684879879,141.904736997998,1,,,,2,
10,北海道,1,伊達赤十字病院,日本赤十字社,北海道伊達市末永町81番地,3,42.4753352109282,140.869671455637,,,,,1,
11,北海道,1,三愛病院,医療法人社団　千寿会,北海道登別市中登別町24番地12,3,42.4643979711835,141.167556184472,,,,,1,1
12,北海道,1,恵愛病院,社会医療法人　友愛会,北海道登別市鷲別町2丁目31番地1,3,42.3563566863744,141.048081169127,,,,,1,1
13,北海道,1,ミネルバ病院,医療法人社団　倭会,北海道伊達市松ヶ枝町245番地1,3,42.4837452589986,140.897506126802,,,,,1,
14,北海道,1,道央佐藤病院,医療法人社団　玄洋会,北海道苫小牧市字樽前234番地,3,42.5962054691183,141.426920069134,,,,,1,
15,北海道,1,石井病院,医療法人社団　静和会,北海道新ひだか町静内高砂町3丁目3番1号,3,42.3501269002546,142.364033269127,1,1,,,1,1
16,北海道,1,旭川圭泉会病院,医療法人社団　圭泉会,北海道旭川市東旭川町下兵村252番地,3,43.7787092739405,142.437332348282,,,,,1,
17,北海道,1,相川記念病院,医療法人社団　志恩会,北海道旭川市大町2条14丁目92番地の20,3,43.796192682817,142.348638826842,,,,,1,
18,北海道,1,名寄市立総合病院,名寄市,北海道名寄市西7条南8丁目1番地,3,44.3484819404889,142.451254008372,1,,,,2,
19,北海道,1,北見赤十字病院,日本赤十字社,北海道北見市北6条東2丁目1番地,3,43.8082947138503,143.894568154576,,,,,1,
20,北海道,1,北海道立向陽ヶ丘病院,,北海道網走市向陽ヶ丘1丁目5番1号,3,44.0271746569444,144.254349369179,,,,,1,
21,北海道,1,広域紋別病院,広域紋別病院企業団,北海道紋別市落石町1丁目3番37号,4,44.3617242777907,143.346750784531,1,1,,,1,1
22,北海道,1,大江病院,医療法人社団　博仁会,北海道帯広市西20条南2丁目5番3号,3,42.9201949008773,143.149313040308,,,,,1,
23,北海道,1,釧路孝仁会リハビリテーション病院,社会医療法人　孝仁会,北海道釧路市星が浦大通3丁目9番13号,3,43.0159872930204,144.316094740312,1,,,,1,
24,北海道,1,江村精神科内科病院,医療法人社団　裕敬会,北海道根室市有磯町2丁目25番地,4,43.3328802632597,145.589706569157,1,,,,1,
25,青森県,2,青森県立つくしが丘病院,青森県,青森県青森市大字三内字沢部353-92,3,40.8116487701402,140.68135256908,,,,,2,
26,青森県,2,弘前愛成会病院,一般財団法人　愛成会,青森県弘前市北園1丁目6-2,3,40.5816122714137,140.478743969074,,,,,1,
27,青森県,2,青南病院,医療法人　青仁会,青森県八戸市田面木字赤坂16-3,3,40.5012098295504,141.454443253729,,,,,1,
28,青森県,2,高松病院,医療法人　幸仁会,青森県十和田市大字三本木字里ノ沢1-249,3,40.6254669573948,141.247155711404,,,,,1,
29,青森県,2,つがる総合病院,つがる西北五広域連合,青森県五所川原市字岩木町12-3,4,40.8078517506649,140.44077036908,2,,,1,2,
30,青森県,2,むつ総合病院,一部事務組合下北医療センター,青森県むつ市小川町1丁目2-8,4,41.2935737103288,141.201314169095,,,,1,1,
31,岩手県,3,岩手医科大学附属病院,学校法人　岩手医科大学,岩手県矢巾町医大通二丁目１番１号,1,39.6111460023416,141.163965826716,,,,,1,
32,岩手県,3,宮古山口病院,社団医療法人　新和会,岩手県宮古市山口五丁目３番20号,3,39.6557544514714,141.932115511375,1,,,,1,1
33,岩手県,3,花巻病院,独立行政法人　国立病院機構,岩手県花巻市諏訪500番地,3,39.3699740657267,141.109750384381,,,,,1,
34,岩手県,3,北リアス病院,社団医療法人　祐和会,岩手県久慈市源道12-111,3,40.2004894714752,141.782277097898,,,,,1,1
35,岩手県,3,おとめがわ病院,医療法人社団　創生会,岩手県奥州市水沢佐倉河字慶徳27番地１,3,39.1433060668957,141.148755569032,,,,,1,
36,岩手県,3,岩手県立一戸病院,,岩手県一戸町一戸字砂森60番地１,3,40.2074826090654,141.305015140227,1,,,,1,
37,岩手県,3,岩手県立南光病院,,岩手県一関市狐禅寺字大平17番地,3,38.9361834171029,141.170247069026,2,,,,1,
38,岩手県,3,希望ヶ丘病院,医療法人　希望会,岩手県陸前高田市高田町字大隅８番地６,4,39.0330552697754,141.636950669029,1,,,,1,1
39,岩手県,3,釜石厚生病院,財団医療法人　仁医会,岩手県釜石市野田町一丁目16番32号,4,39.2573790791072,141.827359211364,1,,,,1,1
40,宮城県,4,三峰病院,医療法人　移川哲仁会,宮城県気仙沼市松崎柳沢216-5,3,38.8761075290883,141.55139419786,1,,,,,
41,宮城県,4,こだまホスピタル,医療法人　有恒会,宮城県石巻市山下町2丁目5番7号,3,38.4298434624196,141.291870897984,,,,,,
42,宮城県,4,仙南サナトリウム＋,医療法人社団　蔵王会,宮城県白石市大鷹沢三沢字中山74-10,3,37.9756908002206,140.660239626719,,,,,1,
43,宮城県,4,坂総合クリニック,公益財団法人　宮城厚生協会,宮城県多賀城市下馬2-13-7,4,38.3058506337428,141.015543369056,,,,,,
